province_id;name
35;KABUPATEN MAGETAN
35;KABUPATEN NGAWI
35;KABUPATEN BOJONEGORO
35;KABUPATEN TUBAN
35;KABUPATEN LAMONGAN
35;KABUPATEN GRESIK
35;KABUPATEN BANGKALAN
35;KABUPATEN SAMPANG
35;KABUPATEN PAMEKASAN
35;KABUPATEN SUMENEP
35;KOTA KEDIRI
35;KOTA BLITAR
35;KOTA MALANG
35;KOTA PROBOLINGGO
35;KOTA PASURUAN
35;KOTA MOJOKERTO
35;KOTA MADIUN
35;KOTA SURABAYA
35;KOTA BATU
36;KABUPATEN PANDEGLANG
36;KABUPATEN LEBAK
36;KABUPATEN TANGERANG
36;KABUPATEN SERANG
36;KOTA TANGERANG
36;KOTA CILEGON
36;KOTA SERANG
36;KOTA TANGERANG SELATAN
51;KABUPATEN JEMBRANA
51;KABUPATEN TABANAN
51;KABUPATEN BADUNG
51;KABUPATEN GIANYAR
51;KABUPATEN KLUNGKUNG
51;KABUPATEN BANGLI
51;KABUPATEN KARANG ASEM
51;KABUPATEN BULELENG
51;KOTA DENPASAR
52;KABUPATEN LOMBOK BARAT
52;KABUPATEN LOMBOK TENGAH
52;KABUPATEN LOMBOK TIMUR
52;KABUPATEN SUMBAWA
52;KABUPATEN DOMPU
52;KABUPATEN BIMA
52;KABUPATEN SUMBAWA BARAT
52;KABUPATEN LOMBOK UTARA
52;KOTA MATARAM
52;KOTA BIMA
53;KABUPATEN SUMBA BARAT
53;KABUPATEN SUMBA TIMUR
53;KABUPATEN KUPANG
53;KABUPATEN TIMOR TENGAH SELATAN
53;KABUPATEN TIMOR TENGAH UTARA
53;KABUPATEN BELU
53;KABUPATEN ALOR
53;KABUPATEN LEMBATA
53;KABUPATEN FLORES TIMUR
53;KABUPATEN SIKKA
53;KABUPATEN ENDE
53;KABUPATEN NGADA
53;KABUPATEN MANGGARAI
53;KABUPATEN ROTE NDAO
53;KABUPATEN MANGGARAI BARAT
53;KABUPATEN SUMBA TENGAH
53;KABUPATEN SUMBA BARAT DAYA
53;KABUPATEN NAGEKEO
53;KABUPATEN MANGGARAI TIMUR
53;KABUPATEN SABU RAIJUA
53;KABUPATEN MALAKA
53;KOTA KUPANG
61;KABUPATEN SAMBAS
61;KABUPATEN BENGKAYANG
61;KABUPATEN LANDAK
61;KABUPATEN MEMPAWAH
61;KABUPATEN SANGGAU
61;KABUPATEN KETAPANG
61;KABUPATEN SINTANG
61;KABUPATEN KAPUAS HULU
61;KABUPATEN SEKADAU
61;KABUPATEN MELAWI
61;KABUPATEN KAYONG UTARA
61;KABUPATEN KUBU RAYA
61;KOTA PONTIANAK
61;KOTA SINGKAWANG
62;KABUPATEN KOTAWARINGIN BARAT
62;KABUPATEN KOTAWARINGIN TIMUR
62;KABUPATEN KAPUAS
62;KABUPATEN BARITO SELATAN
62;KABUPATEN BARITO UTARA
62;KABUPATEN SUKAMARA
62;KABUPATEN LAMANDAU
62;KABUPATEN SERUYAN
62;KABUPATEN KATINGAN
62;KABUPATEN PULANG PISAU
62;KABUPATEN GUNUNG MAS
62;KABUPATEN BARITO TIMUR
62;KABUPATEN MURUNG RAYA
62;KOTA PALANGKA RAYA
63;KABUPATEN TANAH LAUT
63;KABUPATEN KOTA BARU
63;KABUPATEN BANJAR
63;KABUPATEN BARITO KUALA
63;KABUPATEN TAPIN
63;KABUPATEN HULU SUNGAI SELATAN
63;KABUPATEN HULU SUNGAI TENGAH
63;KABUPATEN HULU SUNGAI UTARA
63;KABUPATEN TABALONG
63;KABUPATEN TANAH BUMBU
63;KABUPATEN BALANGAN
63;KOTA BANJARMASIN
63;KOTA BANJAR BARU
64;KABUPATEN PASER
64;KABUPATEN KUTAI BARAT
64;KABUPATEN KUTAI KARTANEGARA
64;KABUPATEN KUTAI TIMUR
64;KABUPATEN BERAU
64;KABUPATEN PENAJAM PASER UTARA
64;KABUPATEN MAHAKAM HULU
64;KOTA BALIKPAPAN
64;KOTA SAMARINDA
64;KOTA BONTANG
65;KABUPATEN MALINAU
65;KABUPATEN BULUNGAN
65;KABUPATEN TANA TIDUNG
65;KABUPATEN NUNUKAN
65;KOTA TARAKAN
71;KABUPATEN BOLAANG MONGONDOW
71;KABUPATEN MINAHASA
71;KABUPATEN KEPULAUAN SANGIHE
71;KABUPATEN KEPULAUAN TALAUD
71;KABUPATEN MINAHASA SELATAN
71;KABUPATEN MINAHASA UTARA
71;KABUPATEN BOLAANG MONGONDOW UTARA
71;KABUPATEN SIAU TAGULANDANG BIARO
71;KABUPATEN MINAHASA TENGGARA
71;KABUPATEN BOLAANG MONGONDOW SELATAN
71;KABUPATEN BOLAANG MONGONDOW TIMUR
71;KOTA MANADO
71;KOTA BITUNG
71;KOTA TOMOHON
71;KOTA KOTAMOBAGU
72;KABUPATEN BANGGAI KEPULAUAN
72;KABUPATEN BANGGAI
72;KABUPATEN MOROWALI
72;KABUPATEN POSO
72;KABUPATEN DONGGALA
72;KABUPATEN TOLI-TOLI
72;KABUPATEN BUOL
72;KABUPATEN PARIGI MOUTONG
72;KABUPATEN TOJO UNA-UNA
72;KABUPATEN SIGI
72;KABUPATEN BANGGAI LAUT
72;KABUPATEN MOROWALI UTARA
72;KOTA PALU
73;KABUPATEN KEPULAUAN SELAYAR
73;KABUPATEN BULUKUMBA
73;KABUPATEN BANTAENG
73;KABUPATEN JENEPONTO
73;KABUPATEN TAKALAR
73;KABUPATEN GOWA
73;KABUPATEN SINJAI
73;KABUPATEN MAROS
73;KABUPATEN PANGKAJENE DAN KEPULAUAN
73;KABUPATEN BARRU
73;KABUPATEN BONE
73;KABUPATEN SOPPENG
73;KABUPATEN WAJO
73;KABUPATEN SIDENRENG RAPPANG
73;KABUPATEN PINRANG
73;KABUPATEN ENREKANG
73;KABUPATEN LUWU
73;KABUPATEN TANA TORAJA
73;KABUPATEN LUWU UTARA
73;KABUPATEN LUWU TIMUR
73;KABUPATEN TORAJA UTARA
73;KOTA MAKASSAR
73;KOTA PAREPARE
73;KOTA PALOPO
74;KABUPATEN BUTON
74;KABUPATEN MUNA
74;KABUPATEN KONAWE
74;KABUPATEN KOLAKA
74;KABUPATEN KONAWE SELATAN
74;KABUPATEN BOMBANA
74;KABUPATEN WAKATOBI
74;KABUPATEN KOLAKA UTARA
74;KABUPATEN BUTON UTARA
74;KABUPATEN KONAWE UTARA
74;KABUPATEN KOLAKA TIMUR
74;KABUPATEN KONAWE KEPULAUAN
74;KABUPATEN MUNA BARAT
74;KABUPATEN BUTON TENGAH
74;KABUPATEN BUTON SELATAN
74;KOTA KENDARI
74;KOTA BAUBAU
75;KABUPATEN BOALEMO
75;KABUPATEN GORONTALO
75;KABUPATEN POHUWATO
75;KABUPATEN BONE BOLANGO
75;KABUPATEN GORONTALO UTARA
75;KOTA GORONTALO
76;KABUPATEN MAJENE
76;KABUPATEN POLEWALI MANDAR
76;KABUPATEN MAMASA
76;KABUPATEN MAMUJU
76;KABUPATEN MAMUJU UTARA
76;KABUPATEN MAMUJU TENGAH
81;KABUPATEN MALUKU TENGGARA BARAT
81;KABUPATEN MALUKU TENGGARA
81;KABUPATEN MALUKU TENGAH
81;KABUPATEN BURU
81;KABUPATEN KEPULAUAN ARU
81;KABUPATEN SERAM BAGIAN BARAT
81;KABUPATEN SERAM BAGIAN TIMUR
81;KABUPATEN MALUKU BARAT DAYA
81;KABUPATEN BURU SELATAN
81;KOTA AMBON
81;KOTA TUAL
82;KABUPATEN HALMAHERA BARAT
82;KABUPATEN HALMAHERA TENGAH
82;KABUPATEN KEPULAUAN SULA
82;KABUPATEN HALMAHERA SELATAN
82;KABUPATEN HALMAHERA UTARA
82;KABUPATEN HALMAHERA TIMUR
82;KABUPATEN PULAU MOROTAI
82;KABUPATEN PULAU TALIABU
82;KOTA TERNATE
82;KOTA TIDORE KEPULAUAN
91;KABUPATEN FAKFAK
91;KABUPATEN KAIMANA
91;KABUPATEN TELUK WONDAMA
91;KABUPATEN TELUK BINTUNI
91;KABUPATEN MANOKWARI
91;KABUPATEN SORONG SELATAN
91;KABUPATEN SORONG
91;KABUPATEN RAJA AMPAT
91;KABUPATEN TAMBRAUW
91;KABUPATEN MAYBRAT
91;KABUPATEN MANOKWARI SELATAN
91;KABUPATEN PEGUNUNGAN ARFAK
91;KOTA SORONG
94;KABUPATEN MERAUKE
94;KABUPATEN JAYAWIJAYA
94;KABUPATEN JAYAPURA
94;KABUPATEN NABIRE
94;KABUPATEN KEPULAUAN YAPEN
94;KABUPATEN BIAK NUMFOR
94;KABUPATEN PANIAI
94;KABUPATEN PUNCAK JAYA
94;KABUPATEN MIMIKA
94;KABUPATEN BOVEN DIGOEL
94;KABUPATEN MAPPI
94;KABUPATEN ASMAT
94;KABUPATEN YAHUKIMO
94;KABUPATEN PEGUNUNGAN BINTANG
94;KABUPATEN TOLIKARA
94;KABUPATEN SARMI
94;KABUPATEN KEEROM
94;KABUPATEN WAROPEN
94;KABUPATEN SUPIORI
94;KABUPATEN MAMBERAMO RAYA
